"Rank","Player","Team","Positions","Best","Worst","Avg","Std Dev"
"1","Nikola Jokic","DEN","PF,C DTD","1","3","1.2","0.6"
"2","Stephen Curry","GSW","PG,SG DTD","1","5","2.5","0.9"
"3","James Harden","PHI","PG,SG","2","6","3.1","1.1"
"4","Luka Doncic","DAL","PG,SG DTD","1","17","5.8","4.2"
"5","Damian Lillard","POR","PG OUT","4","14","6.6","2.6"
"6","Karl-Anthony Towns","MIN","C DTD","4","15","6.9","2.9"
"7","Giannis Antetokounmpo","MIL","PF,C DTD","4","12","7.1","2.4"
"8","Kevin Durant","BKN","SF,PF","4","16","8.0","3.4"
"9","Jayson Tatum","BOS","SF,PF DTD","5","12","8.3","2.2"
"10","Joel Embiid","PHI","PF,C DTD","4","16","9.7","2.8"
"11","Bradley Beal","WAS","SG,SF OUT","8","18","11.8","2.4"
"12","Anthony Davis","LAL","PF,C DTD","9","17","12.5","2.6"
"13","Paul George","LAC","SF,PF,SG DTD","9","19","12.8","2.7"
"14","Nikola Vucevic","CHI","C","7","22","16.4","4.9"
"15","Bam Adebayo","MIA","PF,C DTD","10","40","17.5","7.0"
"16","Trae Young","ATL","PG DTD","11","36","17.6","6.7"
"17","Jimmy Butler","MIA","SF,PF,SG DTD","13","41","18.3","7.2"
"18","Domantas Sabonis","SAC","PF,C DTD","14","31","20.7","4.7"
"19","Zach LaVine","CHI","SG,SF DTD","13","30","21.5","4.8"
"20","Michael Porter Jr.","DEN","SF,PF OUT","14","32","22.0","5.7"
"21","Fred VanVleet","TOR","PG,SG DTD","13","54","22.3","9.9"
"22","Rudy Gobert","UTH","C DTD","11","31","22.9","5.9"
"23","Chris Paul","PHO","PG DTD","20","37","25.9","4.8"
"24","LaMelo Ball","CHA","PG,SG","15","45","26.5","8.3"
"25","Shai Gilgeous-Alexander","OKC","PG,SG DTD","20","40","26.5","5.9"
"26","Donovan Mitchell","UTH","PG,SG","19","34","27.2","5.0"
"27","LeBron James","LAL","PG,SG,SF,PF DTD","11","48","30.4","11.4"
"28","Jaylen Brown","BOS","SG,SF DTD","20","45","30.7","7.3"
"29","Khris Middleton","MIL","SF,PF,SG DTD","24","47","30.8","6.5"
"30","Deandre Ayton","PHO","C DTD","13","54","31.1","9.7"
"31","Devin Booker","PHO","SG,SF,PG DTD","22","55","33.8","8.4"
"32","Jrue Holiday","MIL","PG,SG","26","65","35.4","9.8"
"33","Myles Turner","IND","PF,C OUT","20","48","35.5","7.3"
"34","Clint Capela","ATL","C DTD","23","44","35.8","5.8"
"35","Julius Randle","NYK","PF,C DTD","27","67","36.8","10.3"
"36","Tobias Harris","PHI","SF,PF","19","48","37.4","6.7"
"37","Richaun Holmes","SAC","PF,C DTD","23","65","38.8","10.5"
"38","Brandon Ingram","NOR","SF,PF DTD","26","72","39.2","10.7"
"39","De'Aaron Fox","SAC","PG DTD","15","57","39.8","12.5"
"40","Kristaps Porzingis","WAS","PF,C DTD","18","66","41.7","12.0"
"41","Christian Wood","HOU","PF,C DTD","30","68","42.0","8.6"
"42","Jaren Jackson Jr.","MEM","PF,C DTD","29","56","43.0","7.2"
"43","OG Anunoby","TOR","SF,PF DTD","28","66","44.8","11.3"
"44","CJ McCollum","NOR","PG,SG","20","57","47.2","9.0"
"45","Robert Williams III","BOS","C,PF DTD","29","98","47.5","16.2"
"46","Zion Williamson","NOR","PF OUT","21","95","48.5","20.2"
"47","John Collins","ATL","PF,C DTD","45","62","48.9","5.3"
"48","Dejounte Murray","SAS","PG,SG DTD","38","64","49.3","8.0"
"49","Mikal Bridges","PHO","SG,SF","26","67","51.2","9.7"
"50","Lonzo Ball","CHI","PG,SG OUT","33","69","51.4","7.6"
"51","Anthony Edwards","MIN","SG,SF DTD","25","74","51.8","14.4"
"52","Russell Westbrook III","LAL","PG DTD","27","84","52.9","19.6"
"53","Jonas Valanciunas","NOR","C DTD","22","88","53.8","14.4"
"54","Jusuf Nurkic","POR","C OUT","46","66","55.4","6.2"
"55","Ja Morant","MEM","PG DTD","26","87","56.2","15.0"
"56","Tyrese Haliburton","IND","PG,SG DTD","39","81","56.8","10.0"
"57","Kyle Lowry","MIA","PG DTD","46","83","59.4","8.2"
"58","DeMar DeRozan","CHI","SF,PF,SG DTD","32","73","59.9","10.2"
"59","Malcolm Brogdon","IND","PG,SG DTD","41","120","59.9","19.8"
"60","Draymond Green","GSW","PF,C","46","77","61.8","8.5"
"61","Gordon Hayward","CHA","SG,SF DTD","46","85","63.7","9.5"
"62","Pascal Siakam","TOR","PF,C","50","97","66.0","13.8"
"63","Bogdan Bogdanovic","ATL","SF,PF,SG DTD","58","79","66.7","6.8"
"64","Darius Garland","CLE","PG,SG","52","98","67.8","11.5"
